"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"34",0,0,"Diervillaceae","Caprifoliaceae","Diervilla","Diervilla lonicera",NA,"United States of America","Rhode Island","4146d0ce-f104-4a00-934b-f41f37a2934e","PBRU00005875"
"35",0,0,"Diervillaceae","Caprifoliaceae","Diervilla","Diervilla sessilifolia",NA,"United States of America","Massachusetts","54345214-a33d-4790-ba57-36041e4d1ecf","PBRU00075010"
"36",0,0,"Diervillaceae","Caprifoliaceae","Diervilla","Diervilla trifida",NA,"United States of America","Michigan","99669a26-84ce-4641-aae8-363335ff8f27","PBRU00005876"
"37",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",2016,"United States of America","Maine","d464605c-4eb6-4e3a-a21f-ba42ef310704","PBRU00056354"
"38",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",2015,"United States of America","Maine","4744046b-332e-4f29-ad9f-a41f36522f5a","PBRU00034251"
"39",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",2015,"United States of America","Minnesota","88e65c7d-7387-409a-9796-c73e9395e0ec","PBRU00050298"
"40",0,0,"Linnaeaceae","Caprifoliaceae","Kolkwitzia","Kolkwitzia amabilis",1967,"United States of America","Massachusetts","ec86a15d-066c-4ca3-9c6f-4618597043b6","PBRU00032248"
"41",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1947,"Canada","Quebec Province","5f1733e3-ea3f-46a8-b366-24ffad580c28","PBRU00029405"
"42",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1947,"Canada","Quebec Province","dbe9fd03-6600-4ae3-a238-e583c674a2c5","PBRU00029406"
"43",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1935,"United States of America","Rhode Island","348e27d5-c911-4f82-b3e3-460cfe8eb34a","PBRU00005898"
"44",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1932,"United States of America","New Hampshire","d096e23c-b6e0-4f98-88d4-a6b46ade9f45","PBRU00005901"
"45",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1903,"United States of America","Washington","28ffaf42-c9b4-4f7b-93be-701bf626603e","PBRU00005927"
"46",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea longiflora",1903,"United States of America","Washington","e2a4d808-dea6-4e2d-8b6a-8f5dcc3dd292","PBRU00005928"
"47",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1900,"Canada","","02322ed4-7e02-4760-b274-b85c3efafe92","PBRU00005908"
"48",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1900,"Canada","","19ba9a1c-d0e7-41dc-9091-cfeab06217b1","PBRU00005910"
"49",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1900,"Canada","","87e884bc-ad0f-407d-8074-6443bfd571ef","PBRU00005907"
"50",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1900,"Canada","","bb44ac7b-4a3a-413c-932f-5c5ff9769f24","PBRU00005912"
"51",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1900,"Canada","","eecfc5db-8284-4fef-b247-e3d789e86209","PBRU00005909"
"52",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1893,"United States of America","Washington","e5ac739d-20cf-4238-9730-b806149456ee","PBRU00005911"
"53",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1892,"Canada","Nova Scotia","44c8c3e4-a94a-4def-a606-63ff394a25db","PBRU00005902"
"54",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1892,"United States of America","New Hampshire","fe87dd0e-1cab-4f62-80f1-e567b41be133","PBRU00005926"
"55",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1889,"United States of America","Washington","4e883423-bc05-4daa-92ff-615917d483dc","PBRU00005922"
"56",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1887,"United States of America","Maine","8b68f93e-1734-4b20-9ed1-bd648084c7bd","PBRU00009032"
"57",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1886,"United States of America","Maine","a456cd42-0730-41eb-b3be-96ac6158bde2","PBRU00009031"
"58",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1882,"United States of America","New Hampshire","f14b3033-08bf-4064-9a75-74750fa3027c","PBRU00005904"
"59",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1881,"United States of America","Vermont","1d152adb-b698-4fbe-8028-b42831b2d28d","PBRU00005914"
"60",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1879,"United States of America","California","60f25ef3-108b-4449-bf04-663980e1844a","PBRU00005905"
"61",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1873,"Canada","New Brunswick","4b5408cf-bf62-4cc0-87e9-fabf5b487d85","PBRU00005913"
"62",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1871,"United States of America","Oregon","38bc02c6-37ab-4597-9490-63b0000ccbbc","PBRU00005917"
"63",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1871,"United States of America","Oregon","82bfb3a3-f88a-48b6-a836-a6e54d76c277","PBRU00005906"
"64",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1870,"Canada","","216cdaf9-14a0-4fb0-aa71-b8d8c61bb442","PBRU00005931"
"65",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1865,"United States of America","Rhode Island","ad07df6c-2381-42de-8919-1175db4bc463","PBRU00005900"
"66",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1862,"United States of America","","2d456fef-0545-4eae-90bd-9a41d937d252","PBRU00005920"
"67",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1862,"United States of America","Colorado","eff8dda7-12e7-4f3c-813b-895412545091","PBRU00005924"
"68",0,0,"Linnaeaceae","Caprifoliaceae","Linnaea","Linnaea borealis",1860,"United States of America","Rhode Island","87b49422-b70a-4bf9-ae99-c0bd12b6ca4f","PBRU00070692"
